name_a,name_b,n,mean_a,mean_b,mean_diff,wilcoxon_p,permutation_p,cliffs_delta,rank_biserial,effect_label,wilcoxon_p_corr,permutation_p_corr,significant,protocol,metric,metric_label,higher_is_better
AlwaysCompact_C128,MultiAgentRL_ddqn,5,43.53360000000001,64.725,-21.191400000000005,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_file_count,File count,False
AlwaysCompact_C128,MultiAgentRL_mlp_ppo,5,43.53360000000001,127.67199999999998,-84.13839999999998,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_file_count,File count,False
AlwaysCompact_C128,Threshold10_C128,5,43.53360000000001,46.345600000000005,-2.811999999999999,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_file_count,File count,False
AlwaysCompact_C128,Threshold10_C64,5,43.53360000000001,88.3636,-44.83,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_file_count,File count,False
AlwaysCompact_C128,WorkloadAwareThreshold,5,43.53360000000001,91.5026,-47.969,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_file_count,File count,False
CompactOnlyRL_attentive_ppoclip,MultiAgentRL_attentive_ppoclip,5,93.9798,89.6734,4.306400000000004,0.625,0.625,0.04,0.3333333333333333,negligible,1.0,1.0,False,std1000,avg_file_count,File count,False
CompactOnlyRL_attentive_ppoclip,MultiAgentRL_ddqn,5,93.9798,64.725,29.2548,0.3125,0.25,0.2,0.6,small,1.0,1.0,False,std1000,avg_file_count,File count,False
CompactOnlyRL_attentive_ppoclip,MultiAgentRL_mlp_ppo,5,93.9798,127.67199999999998,-33.69219999999999,0.4375,0.3125,-0.36,-0.4666666666666667,medium,1.0,1.0,False,std1000,avg_file_count,File count,False
CompactOnlyRL_attentive_ppoclip,Threshold10_C128,5,93.9798,46.345600000000005,47.6342,0.0625,0.0625,1.0,1.0,large,1.0,1.0,False,std1000,avg_file_count,File count,False
CompactOnlyRL_attentive_ppoclip,Threshold10_C64,5,93.9798,88.3636,5.616200000000002,1.0,0.8125,0.2,0.06666666666666667,small,1.0,1.0,False,std1000,avg_file_count,File count,False
CompactOnlyRL_attentive_ppoclip,WorkloadAwareThreshold,5,93.9798,91.5026,2.4772000000000034,1.0,1.0,-0.12,-0.06666666666666667,negligible,1.0,1.0,False,std1000,avg_file_count,File count,False
MultiAgentRL_attentive_ppoclip,MultiAgentRL_ddqn,5,89.6734,64.725,24.948399999999996,0.3125,0.3125,0.2,0.6,small,1.0,1.0,False,std1000,avg_file_count,File count,False
MultiAgentRL_attentive_ppoclip,MultiAgentRL_mlp_ppo,5,89.6734,127.67199999999998,-37.998599999999996,0.125,0.125,-0.68,-0.8666666666666667,large,1.0,1.0,False,std1000,avg_file_count,File count,False
MultiAgentRL_attentive_ppoclip,Threshold10_C128,5,89.6734,46.345600000000005,43.3278,0.0625,0.0625,1.0,1.0,large,1.0,1.0,False,std1000,avg_file_count,File count,False
MultiAgentRL_attentive_ppoclip,Threshold10_C64,5,89.6734,88.3636,1.3097999999999985,1.0,0.9375,-0.2,0.06666666666666667,small,1.0,1.0,False,std1000,avg_file_count,File count,False
MultiAgentRL_attentive_ppoclip,WorkloadAwareThreshold,5,89.6734,91.5026,-1.8292000000000002,1.0,0.8125,-0.2,-0.06666666666666667,small,1.0,1.0,False,std1000,avg_file_count,File count,False
MultiAgentRL_ddqn,MultiAgentRL_mlp_ppo,5,64.725,127.67199999999998,-62.94699999999999,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_file_count,File count,False
MultiAgentRL_ddqn,Threshold10_C128,5,64.725,46.345600000000005,18.379400000000004,0.0625,0.0625,1.0,1.0,large,1.0,1.0,False,std1000,avg_file_count,File count,False
MultiAgentRL_ddqn,Threshold10_C64,5,64.725,88.3636,-23.638599999999997,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_file_count,File count,False
MultiAgentRL_ddqn,WorkloadAwareThreshold,5,64.725,91.5026,-26.777599999999996,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_file_count,File count,False
MultiAgentRL_mlp_ppo,Threshold10_C128,5,127.67199999999998,46.345600000000005,81.32639999999999,0.0625,0.0625,1.0,1.0,large,1.0,1.0,False,std1000,avg_file_count,File count,False
MultiAgentRL_mlp_ppo,Threshold10_C64,5,127.67199999999998,88.3636,39.30839999999999,0.0625,0.0625,1.0,1.0,large,1.0,1.0,False,std1000,avg_file_count,File count,False
MultiAgentRL_mlp_ppo,WorkloadAwareThreshold,5,127.67199999999998,91.5026,36.169399999999996,0.125,0.125,0.68,0.8666666666666667,large,1.0,1.0,False,std1000,avg_file_count,File count,False
Threshold10_C128,Threshold10_C64,5,46.345600000000005,88.3636,-42.018,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_file_count,File count,False
Threshold10_C128,WorkloadAwareThreshold,5,46.345600000000005,91.5026,-45.157,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_file_count,File count,False
Threshold10_C64,WorkloadAwareThreshold,5,88.3636,91.5026,-3.1389999999999985,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_file_count,File count,False
